tipo_unidade;nome_oficial;rpa;distrito_sanitario;microregiao;cnes;cod_nat;tipo_servico;endereço;bairro;fone;especialidade;como_usar;horario;ordem;latitude;longitude
1|Academia da Cidade;Academia da Cidade Pólo Chão de Estrelas;2;2;2.1;7172893;Própria;Pólo de Academia da Cidade;Rua Marcilio Dias;Campina do Barreto;33553820/2812;"Prática de Atividades Físicas, Lazer e Orientação para Hábitos Saudáveis, Potencializando a Utilização Dos Espaços Públicos e Estimulando o Protagonismo Social.";"O acesso aos serviços pode ser por encaminhamento de uma unidade de saúde ou de forma voluntária, sem pré-requisito para participar das aulas. As informações dos alunos serão levantadas durante o processo de Avaliação Física. Em caso de dúvidas ligue para a ouvidoria Municipal de Saúde 0800 281 1530.";Segunda à sexta das 05:30 às 11:30 e das 14:00 às 20:00. Atividades no pólo acontecem das 05:30 às 08:30 e das 17:00 às 20:00.;01.00.00.011;-8.0206226016;-34.8796835915
1|Academia da Cidade;Academia da Cidade Pólo Chié;2;2;2.1;6916317;Própria;Pólo de Academia da Cidade;Av Agamenon Magalhaes;Campo Grande;33553820/2812;"Prática de Atividades Físicas, Lazer e Orientação para Hábitos Saudáveis, Potencializando a Utilização Dos Espaços Públicos e Estimulando o Protagonismo Social.";"O acesso aos serviços pode ser por encaminhamento de uma unidade de saúde ou de forma voluntária, sem pré-requisito para participar das aulas. As informações dos alunos serão levantadas durante o processo de Avaliação Física. Em caso de dúvidas ligue para a ouvidoria Municipal de Saúde 0800 281 1531.";Segunda à sexta das 05:30 às 11:30 e das 14:00 às 20:00. Atividades no pólo acontecem das 05:30 às 08:30 e das 17:00 às 20:00.;01.00.00.012;-8.0381328724;-34.8763877054
1|Academia da Cidade;Academia da Cidade Pólo Coque;1;1;1.3;6664261;Própria;Pólo de Academia da Cidade;"Av Martin Luther King, S/N";Ilha Joana Bezerra;33553820/2812;"Prática de Atividades Físicas, Lazer e Orientação para Hábitos Saudáveis, Potencializando a Utilização Dos Espaços Públicos e Estimulando o Protagonismo Social.";"O acesso aos serviços pode ser por encaminhamento de uma unidade de saúde ou de forma voluntária, sem pré-requisito para participar das aulas. As informações dos alunos serão levantadas durante o processo de Avaliação Física. Em caso de dúvidas ligue para a ouvidoria Municipal de Saúde 0800 281 1532.";Segunda à sexta das 05:30 às 11:30 e das 14:00 às 20:00. Atividades no pólo acontecem das 05:30 às 08:30 e das 17:00 às 20:00.;01.00.00.013;-8.0695172872;-34.8970170004
1|Academia da Cidade;Academia da Cidade Pólo CSU Afrânio Godoy;2;2;2.3;7172885;Própria;Pólo de Academia da Cidade;"Av Anibal Benevolo, S/N - Alto do Pascoal";Alto Santa Terezinha;33553820/2812;"Prática de Atividades Físicas, Lazer e Orientação para Hábitos Saudáveis, Potencializando a Utilização Dos Espaços Públicos e Estimulando o Protagonismo Social.";"O acesso aos serviços pode ser por encaminhamento de uma unidade de saúde ou de forma voluntária, sem pré-requisito para participar das aulas. As informações dos alunos serão levantadas durante o processo de Avaliação Física. Em caso de dúvidas ligue para a ouvidoria Municipal de Saúde 0800 281 1533.";Segunda à sexta das 05:30 às 11:30 e das 14:00 às 20:00. Atividades no pólo acontecem das 05:30 às 08:30 e das 17:00 às 20:00.;01.00.00.014;-8.0102833671;-34.9032775387
1|Academia da Cidade;Academia da Cidade Pólo do Engenho do Meio;4;4;4.2;6664717;Própria;Pólo de Academia da Cidade;Praça do Engenho do Meio;Engenho do Meio;33553820/2812;"Prática de Atividades Físicas, Lazer e Orientação para Hábitos Saudáveis, Potencializando a Utilização Dos Espaços Públicos e Estimulando o Protagonismo Social.";"O acesso aos serviços pode ser por encaminhamento de uma unidade de saúde ou de forma voluntária, sem pré-requisito para participar das aulas. As informações dos alunos serão levantadas durante o processo de Avaliação Física. Em caso de dúvidas ligue para a ouvidoria Municipal de Saúde 0800 281 1534.";Segunda à sexta das 05:30 às 11:30 e das 14:00 às 20:00. Atividades no pólo acontecem das 05:30 às 08:30 e das 17:00 às 20:00.;01.00.00.015;-8.0575996183;-34.9433990095
1|Academia da Cidade;Academia da Cidade Pólo Ermírio de Moraes;3;3;3.2;;Própria;Pólo de Academia da Cidade;"Av 17 de Agosto, 2388";Casa Forte;33553820/2812;"Prática de Atividades Físicas, Lazer e Orientação para Hábitos Saudáveis, Potencializando a Utilização Dos Espaços Públicos e Estimulando o Protagonismo Social.";"O acesso aos serviços pode ser por encaminhamento de uma unidade de saúde ou de forma voluntária, sem pré-requisito para participar das aulas. As informações dos alunos serão levantadas durante o processo de Avaliação Física. Em caso de dúvidas ligue para a ouvidoria Municipal de Saúde 0800 281 1535.";Segunda à sexta das 05:30 às 11:30 e das 14:00 às 20:00. Atividades no pólo acontecem das 05:30 às 08:30 e das 17:00 às 20:00.;01.00.00.016;-8.0287877000;-34.9252285074
1|Academia da Cidade;Academia da Cidade Pólo ESEF;1;1;1.1;;Própria;Pólo de Academia da Cidade;"Av Governador Agamenon Magalhaes, S/N";Santo Amaro;33552820;"Prática de Atividades Físicas, Lazer e Orientação para Hábitos Saudáveis, Potencializando a Utilização Dos Espaços Públicos e Estimulando o Protagonismo Social.";"O acesso aos serviços pode ser por encaminhamento de uma unidade de saúde ou de forma voluntária, sem pré-requisito para participar das aulas. As informações dos alunos serão levantadas durante o processo de Avaliação Física. Em caso de dúvidas ligue para a ouvidoria Municipal de Saúde 0800 281 1536.";Segunda à sexta das 05:30 às 11:30 e das 14:00 às 20:00. Atividades no pólo acontecem das 05:30 às 08:30 e das 17:00 às 20:00.;01.00.00.017;-8.0455856862;-34.8863634317
1|Academia da Cidade;Academia da Cidade Pólo Hérois da Restauração;5;5;5.2;7018371;Própria;Pólo de Academia da Cidade;"Rua Ipojuca, S/N";Areias;33553820/2812;"Prática de Atividades Físicas, Lazer e Orientação para Hábitos Saudáveis, Potencializando a Utilização Dos Espaços Públicos e Estimulando o Protagonismo Social.";"O acesso aos serviços pode ser por encaminhamento de uma unidade de saúde ou de forma voluntária, sem pré-requisito para participar das aulas. As informações dos alunos serão levantadas durante o processo de Avaliação Física. Em caso de dúvidas ligue para a ouvidoria Municipal de Saúde 0800 281 1537.";Segunda à sexta das 05:30 às 11:30 e das 14:00 às 20:00. Atividades no pólo acontecem das 05:30 às 08:30 e das 17:00 às 20:00.;01.00.00.018;-8.0972479278;-34.9356579623
1|Academia da Cidade;Academia da Cidade Pólo Hipodrómo;2;2;2.1;6664245;Própria;Pólo de Academia da Cidade;Praça do Hipodromo ;Hipódromo;33553820/2812;"Prática de Atividades Físicas, Lazer e Orientação para Hábitos Saudáveis, Potencializando a Utilização Dos Espaços Públicos e Estimulando o Protagonismo Social.";"O acesso aos serviços pode ser por encaminhamento de uma unidade de saúde ou de forma voluntária, sem pré-requisito para participar das aulas. As informações dos alunos serão levantadas durante o processo de Avaliação Física. Em caso de dúvidas ligue para a ouvidoria Municipal de Saúde 0800 281 1538.";Segunda à sexta das 05:30 às 11:30 e das 14:00 às 20:00. Atividades no pólo acontecem das 05:30 às 08:30 e das 17:00 às 20:00.;01.00.00.019;-8.0322220217;-34.8860192000
1|Academia da Cidade;Academia da Cidade Pólo IBURA;6;8;8.3;6665020;Própria;Pólo de Academia da Cidade;"Av Pernambuco, UR 01";Cohab;33553820/2812;"Prática de Atividades Físicas, Lazer e Orientação para Hábitos Saudáveis, Potencializando a Utilização Dos Espaços Públicos e Estimulando o Protagonismo Social.";"O acesso aos serviços pode ser por encaminhamento de uma unidade de saúde ou de forma voluntária, sem pré-requisito para participar das aulas. As informações dos alunos serão levantadas durante o processo de Avaliação Física. Em caso de dúvidas ligue para a ouvidoria Municipal de Saúde 0800 281 1539.";Segunda à sexta das 05:30 às 11:30 e das 14:00 às 20:00. Atividades no pólo acontecem das 05:30 às 08:30 e das 17:00 às 20:00.;01.00.00.020;-8.1182070969;-34.9461166540
1|Academia da Cidade;Academia da Cidade Pólo Ilha de Joaneiro;2;2;2.1;6660398;Própria;Pólo de Academia da Cidade;"Av Agamenon Magalhaes, S/N";Torreão;33553820/2812;"Prática de Atividades Físicas, Lazer e Orientação para Hábitos Saudáveis, Potencializando a Utilização Dos Espaços Públicos e Estimulando o Protagonismo Social.";"O acesso aos serviços pode ser por encaminhamento de uma unidade de saúde ou de forma voluntária, sem pré-requisito para participar das aulas. As informações dos alunos serão levantadas durante o processo de Avaliação Física. Em caso de dúvidas ligue para a ouvidoria Municipal de Saúde 0800 281 1540.";Segunda à sexta das 05:30 às 11:30 e das 14:00 às 20:00. Atividades no pólo acontecem das 05:30 às 08:30 e das 17:00 às 20:00.;01.00.00.021;-8.0413904080;-34.8833405866
1|Academia da Cidade;Academia da Cidade Pólo Ilha do Leite;1;1;1.2;6664253;Própria;Pólo de Academia da Cidade;Praça Miguel de Cervantes;Ilha do Leite;33553820/2812;"Prática de Atividades Físicas, Lazer e Orientação para Hábitos Saudáveis, Potencializando a Utilização Dos Espaços Públicos e Estimulando o Protagonismo Social.";"O acesso aos serviços pode ser por encaminhamento de uma unidade de saúde ou de forma voluntária, sem pré-requisito para participar das aulas. As informações dos alunos serão levantadas durante o processo de Avaliação Física. Em caso de dúvidas ligue para a ouvidoria Municipal de Saúde 0800 281 1541.";Segunda à sexta das 05:30 às 11:30 e das 14:00 às 20:00. Atividades no pólo acontecem das 05:30 às 08:30 e das 17:00 às 20:00.;01.00.00.022;-8.0668014760;-34.8935535599
1|Academia da Cidade;Academia da Cidade Pólo IPSEP;6;6;6.2;6665063;Própria;Pólo de Academia da Cidade;Praça Senador Roberto Kenedy;Ipsep;33553820/2812;"Prática de Atividades Físicas, Lazer e Orientação para Hábitos Saudáveis, Potencializando a Utilização Dos Espaços Públicos e Estimulando o Protagonismo Social.";"O acesso aos serviços pode ser por encaminhamento de uma unidade de saúde ou de forma voluntária, sem pré-requisito para participar das aulas. As informações dos alunos serão levantadas durante o processo de Avaliação Física. Em caso de dúvidas ligue para a ouvidoria Municipal de Saúde 0800 281 1542.";Segunda à sexta das 05:30 às 11:30 e das 14:00 às 20:00. Atividades no pólo acontecem das 05:30 às 08:30 e das 17:00 às 20:00.;01.00.00.023;-8.1161001039;-34.9190577015
1|Academia da Cidade;Academia da Cidade Pólo Jaqueira;3;3;3.1;6664326;Própria;Pólo de Academia da Cidade;"Rua do Futuro, S/N";Jaqueira;33553820/2812;"Prática de Atividades Físicas, Lazer e Orientação para Hábitos Saudáveis, Potencializando a Utilização Dos Espaços Públicos e Estimulando o Protagonismo Social.";"O acesso aos serviços pode ser por encaminhamento de uma unidade de saúde ou de forma voluntária, sem pré-requisito para participar das aulas. As informações dos alunos serão levantadas durante o processo de Avaliação Física. Em caso de dúvidas ligue para a ouvidoria Municipal de Saúde 0800 281 1543.";Segunda à sexta das 05:30 às 11:30 e das 14:00 às 20:00. Atividades no pólo acontecem das 05:30 às 08:30 e das 17:00 às 20:00.;01.00.00.024;-8.0365244120;-34.9046906264
1|Academia da Cidade;Academia da Cidade Pólo Jardim São Paulo;5;5;5.3;6664806;Própria;Pólo de Academia da Cidade;Praça de Jardim São Paulo;Jardim São Paulo;33553820/2812;"Prática de Atividades Físicas, Lazer e Orientação para Hábitos Saudáveis, Potencializando a Utilização Dos Espaços Públicos e Estimulando o Protagonismo Social.";"O acesso aos serviços pode ser por encaminhamento de uma unidade de saúde ou de forma voluntária, sem pré-requisito para participar das aulas. As informações dos alunos serão levantadas durante o processo de Avaliação Física. Em caso de dúvidas ligue para a ouvidoria Municipal de Saúde 0800 281 1544.";Segunda à sexta das 05:30 às 11:30 e das 14:00 às 20:00. Atividades no pólo acontecem das 05:30 às 08:30 e das 17:00 às 20:00.;01.00.00.025;-8.0816122264;-34.9382653115
1|Academia da Cidade;Academia da Cidade Pólo Jordão Baixo;6;8;8.2;7057466;Própria;Pólo de Academia da Cidade;"Av Alberto Lundgren, S/N";Jordão;33553820/2812;"Prática de Atividades Físicas, Lazer e Orientação para Hábitos Saudáveis, Potencializando a Utilização Dos Espaços Públicos e Estimulando o Protagonismo Social.";"O acesso aos serviços pode ser por encaminhamento de uma unidade de saúde ou de forma voluntária, sem pré-requisito para participar das aulas. As informações dos alunos serão levantadas durante o processo de Avaliação Física. Em caso de dúvidas ligue para a ouvidoria Municipal de Saúde 0800 281 1545.";Segunda à sexta das 05:30 às 11:30 e das 14:00 às 20:00. Atividades no pólo acontecem das 05:30 às 08:30 e das 17:00 às 20:00.;01.00.00.026;-8.1367188473;-34.9369062641
1|Academia da Cidade;Academia da Cidade Pólo Jovem Cap;2;2;2.1;7172907;Própria;Pólo de Academia da Cidade;Rua Coronel Urbano Ribeiro de Souza S/N;Campina do Barreto;33553820/2812;"Prática de Atividades Físicas, Lazer e Orientação para Hábitos Saudáveis, Potencializando a Utilização Dos Espaços Públicos e Estimulando o Protagonismo Social.";"O acesso aos serviços pode ser por encaminhamento de uma unidade de saúde ou de forma voluntária, sem pré-requisito para participar das aulas. As informações dos alunos serão levantadas durante o processo de Avaliação Física. Em caso de dúvidas ligue para a ouvidoria Municipal de Saúde 0800 281 1546.";Segunda à sexta das 05:30 às 11:30 e das 14:00 às 20:00. Atividades no pólo acontecem das 05:30 às 08:30 e das 17:00 às 20:00.;01.00.00.027;-8.0143528173;-34.8832520436
1|Academia da Cidade;Academia da Cidade Pólo Lagoa do Araça;6;6;6.2;6665071;Própria;Pólo de Academia da Cidade;"Av José F Lins, Lagoa do Araca";Imbiribeira;33553820/2812;"Prática de Atividades Físicas, Lazer e Orientação para Hábitos Saudáveis, Potencializando a Utilização Dos Espaços Públicos e Estimulando o Protagonismo Social.";"O acesso aos serviços pode ser por encaminhamento de uma unidade de saúde ou de forma voluntária, sem pré-requisito para participar das aulas. As informações dos alunos serão levantadas durante o processo de Avaliação Física. Em caso de dúvidas ligue para a ouvidoria Municipal de Saúde 0800 281 1547.";Segunda à sexta das 05:30 às 11:30 e das 14:00 às 20:00. Atividades no pólo acontecem das 05:30 às 08:30 e das 17:00 às 20:00.;01.00.00.028;-8.0961415300;-34.9139499455
1|Academia da Cidade;Academia da Cidade Pólo Lavadeiras;5;5;5.2;7018495;Própria;Pólo de Academia da Cidade;"Rua Palmares, S/N";Areias;33553820/2812;"Prática de Atividades Físicas, Lazer e Orientação para Hábitos Saudáveis, Potencializando a Utilização Dos Espaços Públicos e Estimulando o Protagonismo Social.";"O acesso aos serviços pode ser por encaminhamento de uma unidade de saúde ou de forma voluntária, sem pré-requisito para participar das aulas. As informações dos alunos serão levantadas durante o processo de Avaliação Física. Em caso de dúvidas ligue para a ouvidoria Municipal de Saúde 0800 281 1548.";Segunda à sexta das 05:30 às 11:30 e das 14:00 às 20:00. Atividades no pólo acontecem das 05:30 às 08:30 e das 17:00 às 20:00.;01.00.00.029;-8.0945366772;-34.9366927744
1|Academia da Cidade;Academia da Cidade Pólo Morro da Conceição;3;7;7.1;6664318;Própria;Pólo de Academia da Cidade;"Praça do Morro da Conceição, 589";Morro da Conceição;33553820/2812;"Prática de Atividades Físicas, Lazer e Orientação para Hábitos Saudáveis, Potencializando a Utilização Dos Espaços Públicos e Estimulando o Protagonismo Social.";"O acesso aos serviços pode ser por encaminhamento de uma unidade de saúde ou de forma voluntária, sem pré-requisito para participar das aulas. As informações dos alunos serão levantadas durante o processo de Avaliação Física. Em caso de dúvidas ligue para a ouvidoria Municipal de Saúde 0800 281 1549.";Segunda à sexta das 05:30 às 11:30 e das 14:00 às 20:00. Atividades no pólo acontecem das 05:30 às 08:30 e das 17:00 às 20:00.;01.00.00.030;-8.0194772445;-34.9143462951
1|Academia da Cidade;Academia da Cidade Pólo Parque Santana;3;3;3.2;7172877;Própria;Pólo de Academia da Cidade;"Rua Santana, S/N";Santana;33553820/2812;"Prática de Atividades Físicas, Lazer e Orientação para Hábitos Saudáveis, Potencializando a Utilização Dos Espaços Públicos e Estimulando o Protagonismo Social.";"O acesso aos serviços pode ser por encaminhamento de uma unidade de saúde ou de forma voluntária, sem pré-requisito para participar das aulas. As informações dos alunos serão levantadas durante o processo de Avaliação Física. Em caso de dúvidas ligue para a ouvidoria Municipal de Saúde 0800 281 1550.";Segunda à sexta das 05:30 às 11:30 e das 14:00 às 20:00. Atividades no pólo acontecem das 05:30 às 08:30 e das 17:00 às 20:00.;01.00.00.031;-8.0419423014;-34.9180127620
1|Academia da Cidade;Academia da Cidade Pólo Praça do Poeta;4;4;4.3;6664741;Própria;Pólo de Academia da Cidade;Praça do Poeta/Varzea;Várzea;33553820/2812;"Prática de Atividades Físicas, Lazer e Orientação para Hábitos Saudáveis, Potencializando a Utilização Dos Espaços Públicos e Estimulando o Protagonismo Social.";"O acesso aos serviços pode ser por encaminhamento de uma unidade de saúde ou de forma voluntária, sem pré-requisito para participar das aulas. As informações dos alunos serão levantadas durante o processo de Avaliação Física. Em caso de dúvidas ligue para a ouvidoria Municipal de Saúde 0800 281 1551.";Segunda à sexta das 05:30 às 11:30 e das 14:00 às 20:00. Atividades no pólo acontecem das 05:30 às 08:30 e das 17:00 às 20:00.;01.00.00.032;-8.0345281770;-34.9503857680
1|Academia da Cidade;Academia da Cidade Pólo Praça do Salgueiro;4;4;4.1;6865054;Própria;Pólo de Academia da Cidade;Praça do Salgueiro;Iputinga;33553820/2812;"Prática de Atividades Físicas, Lazer e Orientação para Hábitos Saudáveis, Potencializando a Utilização Dos Espaços Públicos e Estimulando o Protagonismo Social.";"O acesso aos serviços pode ser por encaminhamento de uma unidade de saúde ou de forma voluntária, sem pré-requisito para participar das aulas. As informações dos alunos serão levantadas durante o processo de Avaliação Física. Em caso de dúvidas ligue para a ouvidoria Municipal de Saúde 0800 281 1552.";Segunda à sexta das 05:30 às 11:30 e das 14:00 às 20:00. Atividades no pólo acontecem das 05:30 às 08:30 e das 17:00 às 20:00.;01.00.00.033;-8.0428611571;-34.9383461145
1|Academia da Cidade;Academia da Cidade Pólo Roda de Fogo;4;4;4.2;7135874;Própria;Pólo de Academia da Cidade;"Av Professor Artur Coutinho, S/N";Torrões;33553820/2812;"Prática de Atividades Físicas, Lazer e Orientação para Hábitos Saudáveis, Potencializando a Utilização Dos Espaços Públicos e Estimulando o Protagonismo Social.";"O acesso aos serviços pode ser por encaminhamento de uma unidade de saúde ou de forma voluntária, sem pré-requisito para participar das aulas. As informações dos alunos serão levantadas durante o processo de Avaliação Física. Em caso de dúvidas ligue para a ouvidoria Municipal de Saúde 0800 281 1553.";Segunda à sexta das 05:30 às 11:30 e das 14:00 às 20:00. Atividades no pólo acontecem das 05:30 às 08:30 e das 17:00 às 20:00.;01.00.00.034;-8.0580974146;-34.9374035332
1|Academia da Cidade;Academia da Cidade Pólo San Martim;5;5;5.1;6664814;Própria;Pólo de Academia da Cidade;Patio de Eventos Noel Rodrigues;San Martin;33553820/2812;"Prática de Atividades Físicas, Lazer e Orientação para Hábitos Saudáveis, Potencializando a Utilização Dos Espaços Públicos e Estimulando o Protagonismo Social.";"O acesso aos serviços pode ser por encaminhamento de uma unidade de saúde ou de forma voluntária, sem pré-requisito para participar das aulas. As informações dos alunos serão levantadas durante o processo de Avaliação Física. Em caso de dúvidas ligue para a ouvidoria Municipal de Saúde 0800 281 1554.";Segunda à sexta das 05:30 às 11:30 e das 14:00 às 20:00. Atividades no pólo acontecem das 05:30 às 08:30 e das 17:00 às 20:00.;01.00.00.035;-8.0669885414;-34.9273909545
